id,recipe_id,tag_id
1,52764,1
2,52764,2
3,52765,3
4,52765,4
5,52765,5
6,52767,6
7,52767,7
8,52767,8
9,52768,6
10,52768,7
11,52768,9
12,52773,10
13,52773,11
14,52773,12
15,52776,13
16,52776,14
17,52776,15
18,52776,16
19,52779,6
20,52779,17
21,52785,18
22,52785,19
23,52785,13
24,52787,20
25,52787,14
26,52788,20
27,52788,13
28,52791,21
29,52791,9
30,52791,15
31,52791,22
32,52791,23
33,52792,16
34,52792,24
35,52796,25
36,52796,5
37,52796,21
38,52802,10
39,52802,26
40,52802,11
41,52802,7
42,52803,5
43,52803,27
44,52807,28
45,52807,29
46,52807,30
47,52812,5
48,52815,31
49,52818,25
50,52818,4
51,52818,5
52,52824,32
53,52841,7
54,52855,11
55,52855,15
56,52855,33
57,52856,26
58,52856,15
59,52856,33
60,52856,34
61,52860,14
62,52860,15
63,52860,20
64,52870,19
65,52873,27
66,52873,7
67,52874,5
68,52874,26
69,52875,26
70,52875,5
71,52878,26
72,52879,5
73,52879,21
74,52888,20
75,52888,22
76,52891,15
77,52891,35
78,52891,9
79,52891,21
80,52893,16
81,52894,13
82,52894,33
